1 input_1.asc: UAV Cruise and satellite targeting Mar 14 2025 13:55:26
  0  0 50
time            mach_c1         lonx_c1         latx_c1         alt_c1          
dvbe_c1         psivgx_c1       thtvgx_c1       SBEG1_c1        SBEG2_c1        
SBEG3_c1        VBEG1_c1        VBEG2_c1        VBEG3_c1        SBII1_c1        
SBII2_c1        SBII3_c1        thrust_c1       mach_t1         lonx_t1         
latx_t1         alt_t1          dvbe_t1         psivgx_t1       thtvgx_t1       
SBEG1_t1        SBEG2_t1        SBEG3_t1        VBEG1_t1        VBEG2_t1        
VBEG3_t1        SBII1_t1        SBII2_t1        SBII3_t1        mach_s1         
lonx_s1         latx_s1         alt_s1          dvbe_s1         psivgx_s1       
thtvgx_s1       SBEG1_s1        SBEG2_s1        SBEG3_s1        VBEG1_s1        
VBEG2_s1        VBEG3_s1        SBII1_s1        SBII2_s1        SBII3_s1        
-0.000703659    5.01219e+06     1.38361e+06     3.68162e+06     26.1344         
10.3975         30.3421         500027          7699.89         45.232          
0.0522189       41024.3         41190.3         -27.2832        5422.55         
5466.64         -7.01761        5.8319e+06      1.07339e+06     3.47097e+06     
8               0.655287        14.7182         35.4            7000.36         
204.66          89.9028         0.320494        3.15536         1628.16         
-0.3599         0.34727         204.656         -1.1448         5.02751e+06     
1.32378e+06     3.69465e+06     1676.39         0.0294187       15.4008         
35.3005         100.005         9.99972         45.0021         0.00407674      
56.9186         56.9224         -0.00520454     7.07061         7.07113         
-0.000711506    5.01213e+06     1.3838e+06      3.68163e+06     26.1344         
10.4239         30.3647         500031          7699.88         45.2475         
0.0555731       43735.2         43923.9         -30.9047        5421.06         
5468.1          -7.46837        5.83002e+06     1.07604e+06     3.47332e+06     
8.5             0.656404        14.7193         35.4            7000.89         
205.013         89.9055         0.257315        3.32669         1730.57         
-0.892956       0.338112        205.011         -0.92071        5.02744e+06     
1.32406e+06     3.69465e+06     1676.38         0.0294187       15.4009         
35.3005         100.006         9.99972         45.0021         0.0041217       
60.4539         60.458          -0.00556225     7.07061         7.07113         
-0.000719352    5.01208e+06     1.38398e+06     3.68163e+06     26.1343         
10.4504         30.3873         500035          7699.87         45.263          
0.0589272       46445.3         46658.4         -34.7515        5419.58         
5469.56         -7.91911        5.82814e+06     1.07869e+06     3.47566e+06     
9               0.657676        14.7204         35.4            7001.23         
205.413         89.9081         0.112104        3.49356         1833.18         
-1.23082        0.32948         205.412         -0.401906       5.02736e+06     
1.32435e+06     3.69465e+06     1676.37         0.0294187       15.4009         
35.3006         100.006         9.99972         45.0022         0.00416665      
63.9892         63.9935         -0.00592389     7.0706          7.07113         
-0.000727198    5.01203e+06     1.38417e+06     3.68163e+06     26.1343         
10.4768         30.4099         500039          7699.86         45.2786         
0.0622813       49154.7         49393.5         -38.8238        5418.09         
5471.03         -8.36986        5.82625e+06     1.08135e+06     3.47799e+06     
9.5             0.659014        14.7215         35.4            7001.29         
205.831         89.9105         -0.0456181      3.65628         1935.99         
-1.28718        0.321483        205.831         0.16388         5.02729e+06     
1.32463e+06     3.69465e+06     1676.36         0.0294187       15.401          
35.3006         100.006         9.99972         45.0022         0.00421161      
67.5245         67.5291         -0.00628945     7.0706          7.07114         
-0.000735044    5.01197e+06     1.38435e+06     3.68164e+06     26.1343         
10.5033         30.4325         500043          7699.85         45.2941         
0.0656355       51863.4         52129.4         -43.1214        5416.59         
5472.49         -8.8206         5.82437e+06     1.084e+06       3.48033e+06     
10              0.660331        14.7227         35.4            7001.1          
206.241         89.9128         -0.1552         3.81513         2039.01         
-1.0962         0.313959        206.24          0.558655        5.02722e+06     
1.32491e+06     3.69465e+06     1676.34         0.0294187       15.401          
35.3006         100.007         9.99972         45.0022         0.00425657      
71.0598         71.0647         -0.00665893     7.0706          7.07114         
-0.00074289     5.01192e+06     1.38454e+06     3.68164e+06     26.1342         
10.5297         30.4551         500048          7699.84         45.3097         
0.0689896       54571.3         54866           -47.6444        5415.1          
5473.95         -9.27134        5.82248e+06     1.08665e+06     3.48267e+06     
10.5            0.661556        14.7238         35.4            7000.78         
206.62          89.915          -0.18578        3.97025         2142.22         
-0.776741       0.306528        206.619         0.669959        5.02714e+06     
1.3252e+06      3.69465e+06     1676.33         0.0294187       15.401          
35.3007         100.007         9.99972         45.0022         0.00430152      
74.5951         74.6002         -0.00703234     7.07059         7.07114         
-0.000750736    5.01187e+06     1.38472e+06     3.68164e+06     26.1342         
10.5562         30.4776         500052          7699.83         45.3253         
0.0723437       57278.5         57603.3         -52.3927        5413.6          
5475.42         -9.72208        5.8206e+06      1.0893e+06      3.485e+06       
11              0.662661        14.725          35.4            7000.47         
206.963         89.9173         -0.141966       4.1216          2245.62         
-0.471758       0.29881         206.962         0.512807        5.02707e+06     
1.32548e+06     3.69465e+06     1676.32         0.0294187       15.4011         
35.3007         100.007         9.99972         45.0022         0.00434648      
78.1304         78.1358         -0.00740967     7.07059         7.07115         
-0.000758583    5.01181e+06     1.38491e+06     3.68165e+06     26.1342         
10.5827         30.5002         500057          7699.82         45.3409         
0.0756978       59984.9         60341.4         -57.3664        5412.1          
5476.88         -10.1728        5.81871e+06     1.09195e+06     3.48734e+06     
11.5            0.663673        14.7261         35.4            7000.29         
207.277         89.9197         -0.055059       4.26898         2349.18         
-0.290338       0.290635        207.277         0.199186        5.02699e+06     
1.32576e+06     3.69465e+06     1676.31         0.0294187       15.4011         
35.3007         100.008         9.99972         45.0023         0.00439144      
81.6657         81.6714         -0.00779092     7.07059         7.07115         
-0.000766429    5.01176e+06     1.3851e+06      3.68165e+06     26.1341         
10.6092         30.5228         500063          7699.81         45.3565         
0.0790518       62690.6         63080.2         -62.5655        5410.6          
5478.35         -10.6235        5.81682e+06     1.09461e+06     3.48967e+06     
12              0.664651        14.7272         35.4            7000.27         
207.583         89.9221         0.0339965       4.41217         2452.89         
-0.273873       0.282067        207.583         -0.12317        5.02692e+06     
1.32605e+06     3.69465e+06     1676.31         0.0294187       15.4011         
35.3008         100.008         9.99972         45.0023         0.00443639      
85.201          85.207          -0.0081761      7.07059         7.07115         
-0.000774275    5.01171e+06     1.38528e+06     3.68165e+06     26.1341         
10.6357         30.5453         500068          7699.8          45.3721         
0.0824059       65395.5         65819.8         -67.99          5409.1          
5479.82         -11.0743        5.81492e+06     1.09726e+06     3.49201e+06     
12.5            0.66566         14.7284         35.4            7000.39         
207.899         89.9247         0.0917784       4.55102         2556.76         
-0.394278       0.273305        207.899         -0.33302        5.02684e+06     
1.32633e+06     3.69465e+06     1676.3          0.0294187       15.4012         
35.3008         100.009         9.99972         45.0023         0.00448135      
88.7363         88.7425         -0.0085652      7.07058         7.07115         
-0.000782121    5.01165e+06     1.38547e+06     3.68165e+06     26.1341         
10.6623         30.5679         500074          7699.78         45.3878         
0.0857599       68099.7         68560           -73.6398        5407.59         
5481.29         -11.525         5.81303e+06     1.09991e+06     3.49434e+06     
13              0.666733        14.7295         35.4            7000.58         
208.236         89.9272         0.103225        4.68548         2660.8          
-0.578381       0.264569        208.236         -0.37516        5.02677e+06     
1.32661e+06     3.69465e+06     1676.29         0.0294187       15.4012         
35.3008         100.009         9.99972         45.0023         0.00452631      
92.2716         92.2781         -0.00895822     7.07058         7.07116         
-0.000789967    5.0116e+06      1.38565e+06     3.68166e+06     26.134          
10.6888         30.5904         500080          7699.77         45.4034         
0.0891139       70803.1         71301.1         -79.515         5406.08         
5482.76         -11.9757        5.81113e+06     1.10256e+06     3.49667e+06     
13.5            0.667876        14.7307         35.4            7000.74         
208.595         89.9297         0.0734641       4.81562         2765            
-0.744045       0.25603         208.594         -0.267458       5.02669e+06     
1.3269e+06      3.69465e+06     1676.28         0.0294187       15.4013         
35.3009         100.009         9.99972         45.0024         0.00457126      
95.8069         95.8137         -0.00935517     7.07058         7.07116         
-0.000797814    5.01155e+06     1.38584e+06     3.68166e+06     26.134          
10.7154         30.6129         500086          7699.76         45.4191         
0.0924679       73505.8         74042.8         -85.6155        5404.57         
5484.23         -12.4264        5.80923e+06     1.10521e+06     3.499e+06       
14              0.669066        14.7318         35.4            7000.83         
208.967         89.9321         0.0218379       4.94156         2869.39         
-0.832336       0.247775        208.967         -0.0796465      5.02662e+06     
