1 input_1.asc: UAV Cruise and satellite targeting ' UAV ' Nov  2 2023 17:15:34
  0  0 48
time            FSPV1           FSPV2           FSPV3           pdynmc          
mach            lonx            latx            alt             dvbe            
psivgx          thtvgx          SBEG1           SBEG2           SBEG3           
VBEG1           VBEG2           VBEG3           mprop           cg              
thrust          cl_ov_cd        psivgcx         thtvgcx         anx             
avx             alphax          phimvx          phicx           phix            
qq              tip             alp             ancomx          alcomx          
alx             altd            altcom          wp_grdrange     wp_flag         
range_go        STBG1           STBG2           STBG3           time_go         
psisbx          thtsbx          mtargeting      
0.653671        14.7159         35.4            6999.54         204.146         
89.8973         0.0560068       2.79869         1423.78         0.464796        
0.366011        204.145         -0.199553       6               133.678         
1676.4          9.04287         90              0               1.15899         
0               7.31744         -0.0937542      -0.0946028      -0.0937542      
0.0311317       2.71971         0.127713        0.993866        -0.000957651    
-0.00191995     0.199553        7000            16686.4         0               
0               0               0               0               0               
0               0               0               
7.2             0.460012        -0.018515       -11.2479        12292           
0.653938        14.7164         35.4            6999.61         204.23          
89.8984         0.147941        2.87153         1464.62         0.391308        
0.362311        204.229         -0.527333       6               133.679         
1676.4          9.16944         90              0               1.13315         
0               7.09851         -0.0946312      -0.0978207      -0.0946312      
0.0241443       2.71845         0.123892        0.958163        -0.000968165    
-0.00188963     0.527333        7000            16645.6         0               
0               0               0               0               0               
0               0               0               
7.4             0.517035        -0.0182823      -10.9129        12302.6         
0.654227        14.7168         35.4            6999.74         204.322         
89.8995         0.223138        2.94361         1505.47         0.257956        
0.358566        204.32          -0.795731       6               133.679         
1676.4          9.3322          90              0               1.09937         
0               6.82482         -0.0965741      -0.102197       -0.0965741      
0.01866         2.71713         0.119116        0.926687        -0.000981352    
-0.00186588     0.795731        7000            16604.8         0               
0               0               0               0               0               
0               0               0               
7.6             0.579593        -0.0181428      -10.528         12314.3         
0.654545        14.7173         35.4            6999.92         204.424         
89.9006         0.277995        3.01495         1546.34         0.0779971       
0.354796        204.421         -0.991846       6               133.679         
1676.39         9.51433         90              0               1.06057         
0               6.51859         -0.0995891      -0.107577       -0.0995891      
0.0149028       2.7157          0.113771        0.901162        -0.000996587    
-0.00185164     0.991846        7000            16564           0               
0               0               0               0               0               
0               0               0               
7.8             0.642075        -0.018112       -10.1226        12327.2         
0.654898        14.7177         35.4            7000.13         204.536         
89.9017         0.310555        3.08553         1587.24         -0.133316       
0.351023        204.533         -1.10862        6               133.679         
1676.39         9.69803         90              0               1.01974         
0               6.20226         -0.10361        -0.113729       -0.10361        
0.0129657       2.71412         0.10825         0.882774        -0.00101305     
-0.0018485      1.10862         7000            16523.1         0               
0               0               0               0               0               
0               0               0               
8               0.699976        -0.0181961      -9.72494        12341.5         
0.655287        14.7182         35.4            7000.36         204.66          
89.9028         0.320494        3.15536         1628.16         -0.3599         
0.34727         204.656         -1.1448         6               133.68          
1676.39         9.86685         90              0               0.979709        
0               5.89695         -0.108496       -0.120333       -0.108496       
0.0128161       2.71237         0.102921        0.872145        -0.00102985     
-0.00185708     1.1448          7000            16482.2         0               
0               0               0               0               0               
0               0               0               
8.2             0.75011         -0.0183948      -9.36045        12357.1         
0.655711        14.7186         35.4            7000.59         204.794         
89.9039         0.309001        3.22444         1669.1          -0.585965       
0.343559        204.791         -1.10447        6               133.68          
1676.38         10.0083         90              0               0.943038        
0               5.62124         -0.114021       -0.12697        -0.114021       
0.0143083       2.71047         0.0981092       0.869339        -0.00104601     
-0.00187737     1.10447         7000            16441.3         0               
0               0               0               0               0               
0               0               0               
8.4             0.790567        -0.018702       -9.05017        12373.9         
0.656166        14.7191         35.4            7000.8          204.938         
89.905          0.278566        3.29279         1710.08         -0.79702        
0.339909        204.935         -0.996383       6               133.68          
1676.38         10.1161         90              0               0.91184         
0               5.39017         -0.119875       -0.133144       -0.119875       
0.0172022       2.70841         0.0940762       0.873908        -0.00106063     
-0.00190872     0.996383        7000            16400.4         0               
0               0               0               0               0               
0               0               0               
8.6             0.820487        -0.0191054      -8.80994        12391.7         
0.656649        14.7195         35.4            7000.98         205.09          
89.906          0.232714        3.36041         1751.08         -0.980711       
0.336337        205.088         -0.832998       6               133.681         
1676.38         10.1898         90              0               0.887699        
0               5.21456         -0.125674       -0.138335       -0.125674       
0.0211867       2.70621         0.0910112       0.884959        -0.00107284     
-0.00194989     0.832998        7000            16359.5         0               
0               0               0               0               0               
0               0               0               
8.8             0.839764        -0.0195851      -8.64974        12410.5         
0.657154        14.72           35.4            7001.13         205.249         
89.9071         0.175687        3.42733         1792.11         -1.12745        
0.332858        205.248         -0.629356       6               133.681         
1676.37         10.2336         90              0               0.871611        
0               5.10067         -0.130992       -0.142075       -0.130992       
0.0259057       2.70389         0.0890235       0.90125         -0.00108189     
-0.00199885     0.629356        7000            16318.5         0               
0               0               0               0               0               
0               0               0               
9               0.848768        -0.0201131      -8.57353        12430           
0.657676        14.7204         35.4            7001.23         205.413         
89.9081         0.112104        3.49356         1833.18         -1.23082        
0.32948         205.412         -0.401906       6               133.681         
1676.37         10.2531         90              0               0.863972        
0               5.05018         -0.135414       -0.14404        -0.135414       
0.0309855       2.70148         0.0881422       0.921299        -0.00108725     
-0.00205273     0.401906        7000            16277.5         0               
0               0               0               0               0               
0               0               0               
9.2             0.848148        -0.0206536      -8.57945        12450.1         
0.658208        14.7209         35.4            7001.29         205.579         
89.9091         0.0466331       3.55913         1874.28         -1.28772        
0.326208        205.579         -0.167321       6               133.682         
1676.36         10.2524         90              0               0.864592        
0               5.06044         -0.138594       -0.144118       -0.138594       
0.0360602       2.699           0.0883213       0.943499        -0.00108863     
-0.00210789     0.167321        7000            16236.4         0               
0               0               0               0               0               
0               0               0               
9.4             0.838748        -0.0211658      -8.66044        12470.3         
0.658745        14.7213         35.4            7001.3          205.747         
89.91           -0.0163217      3.62405         1915.41         -1.29834        
0.323035        205.747         0.0586106       6               133.682         
1676.36         10.2336         90              0               0.872762        
0               5.12504         -0.140317       -0.142431       -0.140317       
0.0407957       2.69648         0.0894489       0.966232        -0.00108604     
-0.00216017     -0.0586106      7000            16195.3         0               
0               0               0               0               0               
0               0               0               
9.6             0.821608        -0.021609       -8.80507        12490.7         
0.659282        14.7218         35.4            7001.27         205.914         
89.911          -0.0728867      3.68835         1956.57         -1.26584        
0.31995         205.914         0.261946        6               133.682         
1676.35         10.197          90              0               0.887336        
0               5.23456         -0.140526       -0.139297       -0.140526       
0.0449089       2.69395         0.0913602       0.98798         -0.00107986     
-0.0022054      -0.261946       7000            16154.2         0               
0               0               0               0               0               
0               0               0               
9.8             0.798017        -0.0219482      -8.99868        12510.9         
0.659812        14.7222         35.4            7001.2          206.079         
89.9119         -0.119929       3.75204         1997.77         -1.1959         
0.316933        206.079         0.431355        6               133.682         
1676.35         10.1427         90              0               0.906841        
0               5.3774          -0.139326       -0.135157       -0.139326       
0.048182        2.69143         0.0938533       1.00741         -0.00107077     
-0.00224003     -0.431355       7000            16113           0               
0               0               0               0               0               
0               0               0               
10              0.76957         -0.0221598      -9.22457        12530.8         
0.660331        14.7227         35.4            7001.1          206.241         
89.9128         -0.1552         3.81513         2039.01         -1.0962         
0.313959        206.24          0.558655        6               133.683         
1676.34         10.0728         90              0               0.9296          
0               5.54079         -0.136952       -0.130487       -0.136952       
0.0504715       2.68895         0.096705        1.02346         -0.00105969     
-0.00226162     -0.558655       7000            16071.9         0               
0               0               0               0               0               
0               0               0               
10.2            0.738166        -0.0222345      -9.46527        12550.1         
0.660834        14.7231         35.4            7000.98         206.397         
89.9137         -0.177412       3.87762         2080.27         -0.975671       
0.311           206.396         0.639091        6               133.683         
1676.34         9.99133         90              0               0.953857        
0               5.71172         -0.133723       -0.125735       -0.133723       
0.051711        2.68654         0.0996883       1.03536         -0.00104771     
-0.00226925     -0.639091       7000            16030.6         0               
0               0               0               0               0               
0               0               0               
10.4            0.705946        -0.0221782      -9.70379        12568.8         
0.66132         14.7236         35.4            7000.84         206.547         
89.9146         -0.186238       3.93952         2121.56         -0.843878       
0.308027        206.546         0.671375        6               133.683         
1676.34         9.90459         90              0               0.977904        
0               5.8778          -0.129988       -0.121267       -0.129988       
0.0519092       2.6842          0.102587        1.04269         -0.00103593     
-0.00226349     -0.671375       7000            15989.4         0               
